movie,link,budget,gross_ww,runtime,rating,genre
Take This Waltz,/title/tt1592281/?ref_=sr_t_1,,,,,
Bend It Like Beckham,/title/tt0286499/?ref_=sr_t_1,"['3,500,159']","['76,585,828']",1h 52m,6.7,"['Comedy', 'Drama', 'Romance']"
The Namesake,/title/tt0433416/?ref_=sr_t_1,"['9,500,000']","['20,354,321']",Mira Nair,7.5,['Drama']
Paradise Now,/title/tt0445620/?ref_=sr_t_1,"['2,000,000']","['3,579,902']",1h 31m,7.4,"['Crime', 'Drama', 'Thriller']"
Revolutionary Road,/title/tt0959337/?ref_=sr_t_1,"['35,000,000']","['75,981,180']",1h 59m,7.3,"['Drama', 'Romance']"
The Beat That My Heart Skipped,/title/tt0411270/?ref_=sr_t_1,"['5,300,000']","['11,757,109']",1h 48m,7.2,"['Crime', 'Drama', 'Music']"
The Edge of Heaven,/title/tt0880502/?ref_=sr_t_1,,,,,
Incendies,/title/tt1255953/?ref_=sr_t_1,"['6,800,000']","['6,797,861']",2h 11m,8.3,"['Drama', 'Mystery', 'War']"
Elena,/title/tt28081899/?ref_=sr_t_1,,,,,
Master and Commander: The Far Side of the World,/title/tt0311113/?ref_=sr_t_1,"['150,000,000']","['211,622,535']",2h 18m,7.5,"['Action', 'Adventure', 'Drama']"
The Prestige,/title/tt0482571/?ref_=sr_t_1,"['40,000,000']","['109,676,311']",2h 10m,8.5,"['Drama', 'Mystery', 'Sci-Fi']"
Song of the Sea,/title/tt1865505/?ref_=sr_t_1,"['5,300,000']","['4,228,034']",1h 33m,8.0,"['Animation', 'Adventure', 'Drama']"
"Monsters, Inc.",/title/tt0198781/?ref_=sr_t_1,"['115,000,000']","['579,707,738']",1h 32m,8.1,"['Animation', 'Adventure', 'Comedy']"
The Arbor,/title/tt1623008/?ref_=sr_t_1,,,,,
The Clock,/title/tt2119543/?ref_=sr_t_1,"['42,000,000']","['131,523,093']",1h 45m,6.1,"['Comedy', 'Family', 'Fantasy']"
"Goodbye, Dragon Inn",/title/tt0377556/?ref_=sr_t_1,,,,,
Monster,/title/tt4262980/?ref_=sr_t_1,,,,,
Caramel,/title/tt0825236/?ref_=sr_t_1,"['1,300,000']","['14,248,749']",1h 35m,7.1,"['Comedy', 'Drama', 'Romance']"
The Tiger and the Snow,/title/tt0419198/?ref_=sr_t_1,"['35,000,000']","['25,460,023']",Roberto Benigni,7.0,"['Comedy', 'Drama', 'Romance']"
Taxi Tehran,/title/tt4359416/?ref_=sr_t_1,,,,,
A Borrowed Identity,/title/tt2841572/?ref_=sr_t_1,,,,,
When I Saw You,/title/tt2369543/?ref_=sr_t_1,[],[],Annemarie Jacir,6.6,['Drama']
99 Homes,/title/tt2891174/?ref_=sr_t_1,"['8,000,000']","['1,828,232']",1h 52m,7.1,"['Crime', 'Drama']"
Human,/title/tt1467304/?ref_=sr_t_1,"['1,500,000']",[],1h 32m,4.4,['Horror']
Drive,/title/tt0780504/?ref_=sr_t_1,"['15,000,000']","['78,714,970']",1h 40m,7.8,"['Action', 'Drama']"
Alexandre Sokurov,/title/tt4296736/?ref_=sr_t_1,,,,,
Infernal Affairs,/title/tt0338564/?ref_=sr_t_1,"['6,428,966']","['8,836,958']",1h 41m,8.0,"['Action', 'Crime', 'Drama']"
Shrek,/title/tt0126029/?ref_=sr_t_1,"['60,000,000']","['488,441,368']",1h 30m,7.9,"['Animation', 'Adventure', 'Comedy']"
The Time That Remains,/title/tt1037163/?ref_=sr_t_1,"['6,500,000']","['1,037,505']",1h 49m,7.0,"['Drama', 'History']"
The Box of Life,/title/tt0303792/?ref_=sr_t_1,,,,,
Men at Work,/title/tt0100135/?ref_=sr_t_1,,,,,
Arabian Nights: Volume 1 – The Restless One,/title/tt3284178/?ref_=sr_t_1,,,,,
"I Travel Because I Have To, I Come Back Because I Love You",/title/tt1500761/?ref_=sr_t_1,,,,,
Three Times,/title/tt2393845/?ref_=sr_t_1,,,,,
The Departed,/title/tt0407887/?ref_=sr_t_1,"['90,000,000']","['291,480,452']",2h 31m,8.5,"['Crime', 'Drama', 'Thriller']"
Beginners,/title/tt15509244/?ref_=sr_t_1,,,,,
Knight of Cups,/title/tt2101383/?ref_=sr_t_1,,,,,
Godzilla,/title/tt23289160/?ref_=sr_t_1,"['15,000,000']","['57,330,980']",2h 4m,8.5,"['Action', 'Adventure', 'Drama']"
Girlhood,/title/tt3655522/?ref_=sr_t_1,"['2,966,000']","['1,862,990']",1h 53m,7.0,['Drama']
Team America: World Police,/title/tt0372588/?ref_=sr_t_1,"['32,000,000']","['50,826,898']",1h 38m,7.2,"['Action', 'Comedy']"
Still Walking,/title/tt1087578/?ref_=sr_t_1,,,,,
Step Brothers,/title/tt0838283/?ref_=sr_t_1,"['65,000,000']","['128,108,211']",1h 38m,6.9,['Comedy']
Bright Star,/title/tt0810784/?ref_=sr_t_1,"['8,500,000']","['14,374,652']",1h 59m,6.9,"['Biography', 'Drama', 'Romance']"
Mr Turner,/title/tt2473794/?ref_=sr_t_1,"['8,200,000']","['22,179,785']",2h 30m,6.8,"['Biography', 'Drama', 'History']"
The Lord of the Rings: The Return of the King,/title/tt0167260/?ref_=sr_t_1,"['94,000,000']","['1,156,149,']",3h 21m,9.0,"['Action', 'Adventure', 'Drama']"
Kill List,/title/tt1788391/?ref_=sr_t_1,[],[],1h 35m,6.4,"['Action', 'Crime', 'Drama']"
Kiss Kiss Bang Bang,/title/tt0373469/?ref_=sr_t_1,"['15,000,000']","['15,785,148']",1h 43m,7.5,"['Comedy', 'Crime', 'Mystery']"
Bowling for Columbine,/title/tt0310793/?ref_=sr_t_1,"['4,000,000']","['58,011,975']",2h,8.0,"['Documentary', 'Crime', 'Drama']"
Samson & Delilah,/title/tt0041838/?ref_=sr_t_1,"['3,000,000']",,,,
The Man Without A Past,/title/tt0311519/?ref_=sr_t_1,"['8,000,000']","['9,564,237']",1h 37m,7.6,"['Comedy', 'Drama', 'Romance']"
Secret Things,/title/tt0287963/?ref_=sr_t_1,,,,,
La Ciénaga,/title/tt0240419/?ref_=sr_t_1,,,,,
In the Family,/title/tt15988620/?ref_=sr_t_1,"['6,000,000']",,,,
Gerry,/title/tt0302674/?ref_=sr_t_1,"['3,500,000']",[],1h 43m,6.0,"['Adventure', 'Drama', 'Mystery']"
Songs from the Second Floor,/title/tt0120263/?ref_=sr_t_1,,,,,
Journey to the West,/title/tt2017561/?ref_=sr_t_1,,,,,
Japon,/title/tt0322824/?ref_=sr_t_1,[],[],2h 2m,6.9,['Drama']
Neighboring Sounds,/title/tt2190367/?ref_=sr_t_1,"['1,860,000']",[],2h 11m,7.1,"['Drama', 'Thriller']"
The Band’s Visit,/title/tt1032856/?ref_=sr_t_1,,,,,
Time Out,/title/tt0313443/?ref_=sr_t_1,"['50,000,000']","['55,495,563']",1h 45m,6.5,"['Crime', 'Drama', 'Mystery']"
Barbara,/title/tt2178941/?ref_=sr_t_1,,,,,
A Tale of Two Sisters,/title/tt0365376/?ref_=sr_t_1,,,,,
Meek's Cutoff,/title/tt1518812/?ref_=sr_t_1,"['2,000,000']","['1,205,257']",1h 44m,6.5,"['Adventure', 'Drama', 'Thriller']"
Captain America: Winter Soldier,/title/tt1843866/?ref_=sr_t_1,"['170,000,000']","['714,421,503']",2h 16m,7.8,"['Action', 'Adventure', 'Sci-Fi']"
Star Wars: Episode VII – The Force Awakens,/title/tt2488496/?ref_=sr_t_1,"['245,000,000']","['2,071,310,']",2h 18m,7.8,"['Action', 'Adventure', 'Sci-Fi']"
Love Actually,/title/tt0314331/?ref_=sr_t_1,"['40,000,000']","['249,006,785']",2h 15m,7.6,"['Comedy', 'Drama', 'Romance']"
Chicago,/title/tt0299658/?ref_=sr_t_1,"['45,000,000']","['306,776,732']",1h 53m,7.2,"['Comedy', 'Crime', 'Musical']"
High Fidelity,/title/tt0146882/?ref_=sr_t_1,"['30,000,000']","['47,126,295']",1h 53m,7.4,"['Comedy', 'Drama', 'Music']"
Four Lions,/title/tt1341167/?ref_=sr_t_1,,,,,
Gangs of Wasseypur,/title/tt1954470/?ref_=sr_t_1,"['184,000,000']","['4,384,642']",5h 21m,8.2,"['Action', 'Comedy', 'Crime']"
This Is England,/title/tt0480025/?ref_=sr_t_1,"['1,500,000']","['8,481,254']",1h 41m,7.7,"['Crime', 'Drama']"
The Skin I Live In,/title/tt1189073/?ref_=sr_t_1,"['10,002,914']","['33,716,389']",2h,7.6,"['Drama', 'Horror', 'Mystery']"
Once,/title/tt6710474/?ref_=sr_t_1,"['14,300,000']","['143,379,294']",2h 19m,7.8,"['Action', 'Adventure', 'Comedy']"
Blissfully Yours,/title/tt0317171/?ref_=sr_t_1,,,,,
Be Kind Rewind,/title/tt0799934/?ref_=sr_t_1,"['20,000,000']","['30,579,406']",1h 42m,6.4,['Comedy']
Frontier of Dawn,/title/tt1073535/?ref_=sr_t_1,"['1,800,000']",[],1h 46m,6.4,"['Drama', 'Romance']"
Kings and Queen,/title/tt0049407/?ref_=sr_t_1,,,,,
The Hours,/title/tt0274558/?ref_=sr_t_1,"['25,000,000']","['108,846,072']",1h 50m,7.5,"['Drama', 'Romance']"
The Sun Also Rises,/title/tt0051028/?ref_=sr_t_1,,,,,
"Lust, Caution",/title/tt0808357/?ref_=sr_t_1,"['15,000,000']","['67,091,915']",2h 37m,7.5,"['Drama', 'History', 'Romance']"
